Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
03/10/2017,-0.485617806498472,-0.388546870454218,-0.522556021519989,-0.00568355766138604,-0.573337430646613,-0.568583943155162
03/17/2017,-0.483283157130372,-0.389063583136454,-0.525299611122184,-0.0020204294606319,-0.539083704326759,-0.565728521524485
03/24/2017,-0.481792898115472,-0.390347912922334,-0.528594767313076,0.000372302713996489,-0.506128547293788,-0.563108089875312
03/31/2017,-0.483190035240633,-0.395020738937718,-0.53359100136228,0.000573538743533421,-0.475282145047358,-0.560734666891744
04/07/2017,-0.486525312063656,-0.401837358224214,-0.540310150315161,-0.000746485467993352,-0.447354344472277,-0.558621049703684
04/14/2017,-0.492244701790173,-0.410776862608249,-0.549606594698399,-0.00309411269955257,-0.423195320740732,-0.556780600975998
04/21/2017,-0.500003895080433,-0.419446080523574,-0.561343619854944,-0.00600900889910202,-0.403502195203957,-0.555223623616309
04/28/2017,-0.510170830178015,-0.429288990400732,-0.575433516282503,-0.00952341942537353,-0.388634431002674,-0.553961260727041
05/05/2017,-0.520316361572297,-0.439297190299598,-0.590197912052337,-0.012745940007793,-0.378650909148715,-0.55300280336458
05/12/2017,-0.530312506305803,-0.450422942328844,-0.604368133633332,-0.0163538629105953,-0.373078309167412,-0.552354405482719
05/19/2017,-0.539151965882898,-0.461706028283444,-0.616694169200067,-0.020209218819281,-0.371559162056745,-0.552018610652843
05/26/2017,-0.548206275217078,-0.474840811537519,-0.626606414330986,-0.0256685954031651,-0.373271645409682,-0.551993509012492
06/02/2017,-0.555381737366591,-0.48464445516507,-0.633434301525561,-0.0316177406350423,-0.377097844551344,-0.552271412101805
06/09/2017,-0.561165257251051,-0.490433347851716,-0.636984637711227,-0.03833736209244,-0.38226128010342,-0.552838800365998
06/16/2017,-0.56554750998423,-0.494370855859398,-0.638056035932609,-0.0453746071650206,-0.387368003557313,-0.553675469170805
06/23/2017,-0.568539496603256,-0.497406839602932,-0.637534195122931,-0.0522533950847714,-0.390985492764794,-0.55475410504501
06/30/2017,-0.571763886727265,-0.5044540253547,-0.636523579576556,-0.0589436226496015,-0.392923355696435,-0.556041233670792
07/07/2017,-0.574813178208373,-0.515107194963575,-0.635736574571075,-0.0647799696234256,-0.392137158683784,-0.557502630984524
07/14/2017,-0.578043073667182,-0.526591720765654,-0.636039320610342,-0.0692090735093464,-0.38856054953858,-0.559093027105356
07/21/2017,-0.580256259691932,-0.535251203327595,-0.636552536937595,-0.0716740769216658,-0.382821991053284,-0.560775331664393
07/28/2017,-0.579896267709491,-0.535122752555281,-0.636449156503331,-0.0715320118645784,-0.375655351771918,-0.562513142760915
08/04/2017,-0.576815011249365,-0.524399872752509,-0.6353037866959,-0.0690598017170515,-0.368095786259392,-0.564273120855462
08/11/2017,-0.571562250619156,-0.506884264184643,-0.633301404870381,-0.0651213409499442,-0.360693900645889,-0.566024566162292
08/18/2017,-0.566157342147084,-0.48819575579685,-0.630973453382425,-0.0611215063912274,-0.354878155667023,-0.567738515842972
08/25/2017,-0.562153761022976,-0.473772376749454,-0.628976359061151,-0.0583179593644761,-0.351551512230667,-0.5693854299737
09/01/2017,-0.560032270878692,-0.4667337421019,-0.627074444727686,-0.0576284285364804,-0.351731747218838,-0.570933546875566
09/08/2017,-0.559721335722525,-0.467444588252307,-0.625266531295986,-0.0593131793205412,-0.355978504735946,-0.572347313132925
